Block,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Hour,Week,Month,Year,Day,Station,Tmax,Tmin,Tavg,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS
22,41.731922,-87.677512,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,1,0,0,0,0,0
65,41.999129,-87.795585,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
65,41.999129,-87.795585,8,9,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
15,41.907645,-87.760886,8,3,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
89,41.732984,-87.649642,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
91,41.98196400000001,-87.812827,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
36,41.944869,-87.832763,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
72,42.011601,-87.81150600000002,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
38,41.94983,-87.69845699999998,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
49,41.979243,-87.750938,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
58,41.986921,-87.689778,9,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
50,41.801498,-87.763416,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
14,41.906638,-87.701431,9,3,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
10,41.723195,-87.64997,5,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
11,41.868077,-87.666901,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
11,41.868077,-87.666901,9,7,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
11,41.869216,-87.627561,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
42,41.662014,-87.72460799999998,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
42,41.662014,-87.72460799999998,8,4,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
42,41.662014,-87.72460799999998,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,1,0,0,0,0,0
53,41.961743,-87.76007,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
53,41.961743,-87.76007,9,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
40,41.953067,-87.776792,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
40,41.953067,-87.776792,8,3,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
43,41.878114,-87.629798,3,3,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
42,41.958271,-87.702575,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
42,41.958271,-87.702575,9,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
28,41.932094,-87.700117,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
15,41.994469,-87.667736,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
18,42.006858,-87.675919,9,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
70,41.916265,-87.800515,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
70,41.916265,-87.800515,8,10,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
25,41.846075,-87.716277,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
21,41.918705,-87.752329,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
35,41.682587,-87.707973,9,3,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
35,41.682587,-87.707973,9,8,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
93,41.725517,-87.61425799999998,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
37,41.948167,-87.730698,8,2,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,1,0,0,0,0
37,41.948167,-87.730698,8,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
45,41.963976,-87.69181,9,1,0,0,23,6,2007,5,1,64.0,47.0,56.0,0,0,1,0,0,0
41,41.95469,-87.800991,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
41,41.95469,-87.800991,9,4,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
41,41.95469,-87.800991,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,0,1,0,0
62,41.994991,-87.769279,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
62,41.994991,-87.769279,9,4,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
79,41.974089,-87.824812,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
15,41.9216,-87.666455,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
15,41.9216,-87.666455,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
25,41.891118,-87.65449100000002,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
25,41.891118,-87.65449100000002,8,6,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
11,41.867108,-87.654224,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
11,41.896282,-87.655232,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
21,41.919343,-87.694259,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
22,41.688324,-87.676709,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
22,41.688324,-87.676709,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
22,41.688324,-87.676709,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
22,41.731922,-87.677512,8,5,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
53,41.891126,-87.61156,5,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
53,41.891126,-87.61156,5,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
65,41.999129,-87.795585,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
65,41.999129,-87.795585,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
75,42.01743,-87.68776899999997,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
75,42.01743,-87.68776899999997,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
36,41.944869,-87.832763,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
36,41.944869,-87.832763,8,4,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
72,42.011601,-87.81150600000002,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
72,42.011601,-87.81150600000002,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
38,41.94983,-87.69845699999998,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
49,41.979243,-87.750938,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
58,41.986921,-87.689778,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
58,41.986921,-87.689778,9,9,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
14,41.906638,-87.701431,9,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
14,41.906638,-87.701431,9,3,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
11,41.868077,-87.666901,9,10,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
11,41.868077,-87.666901,9,19,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
11,41.868077,-87.666901,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,1,0,0,0,0,0
42,41.662014,-87.72460799999998,8,20,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
42,41.662014,-87.72460799999998,8,25,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
42,41.662014,-87.72460799999998,8,6,0,0,26,6,2007,26,1,92.0,70.0,81.0,1,0,0,0,0,0
53,41.961743,-87.76007,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
53,41.961743,-87.76007,9,3,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
40,41.953067,-87.776792,8,4,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
43,41.878114,-87.629798,3,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
42,41.958271,-87.702575,9,6,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
28,41.932094,-87.700117,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
18,42.006858,-87.675919,9,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
70,41.916265,-87.800515,8,3,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
70,41.916265,-87.800515,8,6,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
35,41.682587,-87.707973,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
35,41.682587,-87.707973,9,4,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
45,41.963976,-87.69181,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
40,41.953705,-87.733974,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
46,41.964242,-87.757639,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
60,41.990284,-87.797127,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
60,41.990284,-87.797127,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
70,42.008314,-87.77792099999998,9,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
61,41.991429,-87.747113,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
27,41.843811,-87.686763,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
68,41.921177,-87.79518,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
21,41.852652,-87.719887,8,5,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
21,41.852652,-87.719887,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
30,41.857402,-87.694991,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
11,41.868142,-87.696269,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
11,41.868142,-87.696269,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
25,41.846283,-87.656913,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
10,41.721474,-87.648064,8,2,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
10,41.869107,-87.69629300000003,9,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,1,0,0,0,0,0
96,41.719059,-87.675088,9,3,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,1,0,0,0,0
96,41.719059,-87.675088,9,5,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
18,41.966987,-87.674677,8,1,0,0,26,6,2007,26,1,92.0,70.0,81.0,0,0,1,0,0,0
41,41.95469,-87.800991,9,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
79,41.974089,-87.824812,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
79,41.974089,-87.824812,8,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
25,41.891118,-87.65449100000002,8,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
22,41.921965,-87.632085,8,3,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
22,41.688324,-87.676709,8,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
22,41.688324,-87.676709,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,1,0,0,0,0,0
11,41.862292,-87.64886,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
22,41.731922,-87.677512,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
65,41.999129,-87.795585,8,3,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
75,42.01743,-87.68776899999997,8,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
75,42.01743,-87.68776899999997,8,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
15,41.907645,-87.760886,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
72,42.011601,-87.81150600000002,8,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
58,41.986921,-87.689778,9,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
58,41.986921,-87.689778,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
50,41.801498,-87.763416,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,1,0,0,0,0,0
10,41.723195,-87.64997,5,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
11,41.868077,-87.666901,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
11,41.868077,-87.666901,9,6,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
11,41.868077,-87.666901,9,3,0,0,26,6,2007,29,1,70.0,56.0,63.0,1,0,0,0,0,0
42,41.662014,-87.72460799999998,8,3,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
53,41.961743,-87.76007,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
40,41.953067,-87.776792,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
43,41.878114,-87.629798,3,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
42,41.958271,-87.702575,9,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
18,42.006858,-87.675919,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
70,41.916265,-87.800515,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
70,41.916265,-87.800515,8,5,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
35,41.682587,-87.707973,9,6,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
37,41.948167,-87.730698,8,5,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
60,41.990284,-87.797127,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
61,41.991429,-87.747113,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
30,41.857402,-87.694991,8,2,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
30,41.857402,-87.694991,8,3,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
10,41.721474,-87.648064,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
10,41.721474,-87.648064,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,1,0,0,0,0,0
61,41.923738,-87.785288,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
64,41.970248,-87.787992,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
12,42.010412,-87.66214000000002,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
10,41.89923,-87.716788,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
10,41.89923,-87.716788,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
20,41.692555,-87.598865,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
20,41.692555,-87.598865,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,0,1,0,0,0
33,41.94016,-87.794896,9,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
11,41.903002,-87.68826700000002,8,1,0,0,26,6,2007,29,1,70.0,56.0,63.0,0,1,0,0,0,0
41,41.95469,-87.800991,9,3,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
41,41.95469,-87.800991,9,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
62,41.994991,-87.769279,9,4,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
62,41.994991,-87.769279,9,4,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
79,41.974089,-87.824812,8,3,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
15,41.9216,-87.666455,8,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
15,41.9216,-87.666455,8,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
25,41.891118,-87.65449100000002,8,3,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
25,41.891118,-87.65449100000002,8,16,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
11,41.867108,-87.654224,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
22,41.921965,-87.632085,8,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
22,41.921965,-87.632085,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
22,41.688324,-87.676709,8,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
22,41.688324,-87.676709,8,3,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
22,41.731922,-87.677512,8,3,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
22,41.731922,-87.677512,8,4,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
22,41.731922,-87.677512,8,3,0,0,27,7,2007,2,1,79.0,53.0,66.0,1,0,0,0,0,0
53,41.891126,-87.61156,5,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
53,41.891126,-87.61156,5,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
75,42.01743,-87.68776899999997,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
91,41.98196400000001,-87.812827,8,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
36,41.944869,-87.832763,8,6,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
72,42.011601,-87.81150600000002,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
38,41.94983,-87.69845699999998,9,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
58,41.986921,-87.689778,9,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
58,41.986921,-87.689778,9,5,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
58,41.986921,-87.689778,9,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,1,0,0,0,0,0
10,41.723195,-87.64997,5,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
11,41.868077,-87.666901,9,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
11,41.868077,-87.666901,9,11,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
11,41.869216,-87.627561,8,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
42,41.662014,-87.72460799999998,8,16,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
42,41.662014,-87.72460799999998,8,12,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
42,41.662014,-87.72460799999998,8,2,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,0,1,0,0
40,41.953067,-87.776792,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
40,41.953067,-87.776792,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
43,41.878114,-87.629798,3,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,0,1,0,0
42,41.958271,-87.702575,9,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
15,41.994469,-87.667736,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
15,41.994469,-87.667736,8,1,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,0,1,0,0,0
70,41.916265,-87.800515,8,5,0,0,27,7,2007,2,1,79.0,53.0,66.0,0,1,0,0,0,0
