,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DewPointcl,Trange,SatT
36,1,2007-05-19,80.0,56.0,68.0,8.0,39.0,53.0,0.0,3.0,0428,1908, ,0.0,0.0,0.0,29.34,30.08,11.1,24,11.4,0,24.0,29.0
38,1,2007-05-20,69.0,43.0,56.0,-5.0,40.0,44.0,9.0,0.0,0427,1909,RA VCTS,0.0,0.0,0.07,29.38,30.11,10.4,4,10.7,0,26.0,16.0
40,1,2007-05-21,80.0,44.0,62.0,1.0,50.0,56.0,3.0,0.0,0426,1910, ,0.0,0.0,0.0,29.33,30.06,6.3,11,8.2,0,36.0,12.0
42,1,2007-05-22,87.0,55.0,71.0,10.0,46.0,58.0,0.0,6.0,0425,1911, ,0.0,0.0,0.0,29.34,30.06,10.0,18,10.2,0,32.0,25.0
44,1,2007-05-23,89.0,60.0,75.0,14.0,49.0,61.0,0.0,10.0,0425,1912, ,0.0,0.0,0.0,29.39,30.1,11.4,19,11.8,0,29.0,26.0
46,1,2007-05-24,88.0,63.0,76.0,14.0,54.0,63.0,0.0,11.0,0424,1913,RA HZ,0.0,0.0,0.02,29.41,30.11,14.9,21,17.3,0,25.0,22.0
48,1,2007-05-25,70.0,56.0,63.0,1.0,44.0,53.0,2.0,0.0,0423,1914, ,0.0,0.0,0.1,29.51,30.24,4.9,5,8.8,0,14.0,19.0
50,1,2007-05-26,65.0,49.0,57.0,-5.0,55.0,56.0,8.0,0.0,0422,1915,TSRA RA BR HZ,0.0,0.0,1.01,29.36,30.11,2.8,17,7.2,0,16.0,2.0
52,1,2007-05-27,75.0,57.0,66.0,4.0,47.0,56.0,0.0,1.0,0422,1916,RA BR,0.0,0.0,0.04,29.34,30.06,8.9,26,9.5,0,18.0,19.0
54,1,2007-05-28,79.0,50.0,65.0,2.0,47.0,56.0,0.0,0.0,0421,1916,RA,0.0,0.0,0.1,29.43,30.15,4.8,10,5.3,0,29.0,18.0
56,1,2007-05-29,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0421,1917,BR HZ,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,0,28.0,16.0
58,1,2007-05-30,87.0,66.0,77.0,13.0,58.0,65.0,0.0,12.0,0420,1918,HZ,0.0,0.0,0.0,29.31,30.04,10.3,19,10.6,0,21.0,19.0
60,1,2007-05-31,78.0,65.0,72.0,8.0,61.0,65.0,0.0,7.0,0420,1919,RA HZ,0.0,0.0,0.01,29.28,30.0,9.3,19,9.9,0,13.0,11.0
62,1,2007-06-01,85.0,62.0,74.0,10.0,63.0,66.0,0.0,9.0,0419,1920,TSRA BR HZ,0.0,0.0,0.19,29.19,29.91,4.2,17,6.4,0,23.0,11.0
64,1,2007-06-02,81.0,65.0,73.0,9.0,63.0,67.0,0.0,8.0,0419,1920,RA BR,0.0,0.0,0.04,29.03,29.77,6.5,22,7.4,0,16.0,10.0
66,1,2007-06-03,78.0,62.0,70.0,6.0,60.0,63.0,0.0,5.0,0418,1921,TSRA RA BR HZ,0.0,0.0,0.01,28.82,29.56,5.2,25,6.7,0,16.0,10.0
68,1,2007-06-04,71.0,58.0,65.0,1.0,58.0,60.0,0.0,0.0,0418,1922,TSRA RA BR,0.0,0.0,0.39,28.82,29.52,7.8,31,9.7,0,13.0,7.0
70,1,2007-06-05,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,0417,1923,RA BR,0.0,0.0,0.42,29.1,29.79,5.2,5,7.6,0,17.0,8.0
72,1,2007-06-06,71.0,44.0,58.0,-8.0,48.0,55.0,7.0,0.0,0417,1923,RA,0.0,0.0,0.01,29.07,29.81,10.8,17,11.4,0,27.0,10.0
74,1,2007-06-07,91.0,71.0,81.0,15.0,62.0,69.0,0.0,16.0,0417,1924, ,0.0,0.0,0.0,28.84,29.55,22.7,20,23.1,0,20.0,19.0
76,1,2007-06-08,81.0,57.0,69.0,3.0,53.0,61.0,0.0,4.0,0417,1925, ,0.0,0.0,0.0,29.18,29.85,10.9,28,13.8,0,24.0,16.0
78,1,2007-06-09,79.0,52.0,66.0,0.0,47.0,57.0,0.0,1.0,0416,1925, ,0.0,0.0,0.0,29.36,30.07,0.3,33,5.0,0,27.0,19.0
80,1,2007-06-10,81.0,55.0,68.0,1.0,51.0,59.0,0.0,3.0,0416,1926, ,0.0,0.0,0.0,29.34,30.05,4.8,17,5.6,0,26.0,17.0
82,1,2007-06-11,86.0,58.0,72.0,5.0,52.0,61.0,0.0,7.0,0416,1926, ,0.0,0.0,0.0,29.41,30.11,4.9,11,6.9,0,28.0,20.0
84,1,2007-06-12,83.0,62.0,73.0,5.0,50.0,60.0,0.0,8.0,0416,1927, ,0.0,0.0,0.0,29.44,30.16,8.3,5,8.8,0,21.0,23.0
86,1,2007-06-13,87.0,60.0,74.0,6.0,53.0,62.0,0.0,9.0,0416,1927, ,0.0,0.0,0.0,29.36,30.09,7.2,5,8.6,0,27.0,21.0
88,1,2007-06-14,89.0,64.0,77.0,9.0,55.0,64.0,0.0,12.0,0416,1928, ,0.0,0.0,0.0,29.3,30.02,5.6,5,6.8,0,25.0,22.0
90,1,2007-06-15,91.0,63.0,77.0,9.0,56.0,64.0,0.0,12.0,0416,1928, ,0.0,0.0,0.0,29.28,29.99,4.1,6,4.9,0,28.0,21.0
92,1,2007-06-16,93.0,66.0,80.0,11.0,60.0,67.0,0.0,15.0,0416,1929,RA HZ,0.0,0.0,0.1,29.26,29.97,4.8,28,5.8,0,27.0,20.0
94,1,2007-06-17,91.0,70.0,81.0,12.0,64.0,70.0,0.0,16.0,0416,1929,HZ,0.0,0.0,0.0,29.23,29.95,2.8,11,6.3,0,21.0,17.0
96,1,2007-06-18,89.0,69.0,79.0,9.0,65.0,70.0,0.0,14.0,0416,1929,TSRA RA HZ,0.0,0.0,0.28,29.12,29.84,14.0,20,15.1,1,20.0,14.0
98,1,2007-06-19,80.0,65.0,73.0,3.0,55.0,63.0,0.0,8.0,0416,1930,RA,0.0,0.0,0.58,29.26,29.95,10.7,28,11.4,0,15.0,18.0
100,1,2007-06-20,84.0,61.0,73.0,3.0,52.0,61.0,0.0,8.0,0416,1930, ,0.0,0.0,0.0,29.39,30.1,7.8,27,8.8,0,23.0,21.0
102,1,2007-06-21,77.0,61.0,69.0,-1.0,51.0,60.0,0.0,4.0,0416,1930,RA,0.0,0.0,0.01,29.36,30.08,3.5,3,10.7,0,16.0,18.0
104,1,2007-06-22,76.0,61.0,69.0,-1.0,50.0,58.0,0.0,4.0,0417,1931,RA,0.0,0.0,0.1,29.33,30.06,7.8,6,8.7,0,15.0,19.0
106,1,2007-06-23,67.0,62.0,65.0,-5.0,58.0,61.0,0.0,0.0,0417,1931,RA BR,0.0,0.0,0.05,29.23,29.96,7.6,12,9.0,0,5.0,7.0
108,1,2007-06-24,77.0,63.0,70.0,-1.0,62.0,65.0,0.0,5.0,0417,1931,BR HZ,0.0,0.0,0.0,29.26,29.97,7.0,9,8.0,0,14.0,8.0
110,1,2007-06-25,89.0,65.0,77.0,6.0,66.0,70.0,0.0,12.0,0417,1931,BR HZ,0.0,0.0,0.0,29.38,30.07,3.9,14,6.8,1,24.0,11.0
112,1,2007-06-26,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,0418,1931,TSRA BR HZ VCTS,0.0,0.0,0.16,29.39,30.11,6.1,22,7.1,1,22.0,12.0
114,1,2007-06-27,91.0,71.0,81.0,10.0,70.0,72.0,0.0,16.0,0418,1931,TSRA,0.0,0.0,0.15,29.29,30.02,7.5,24,8.8,1,20.0,11.0
116,1,2007-06-28,74.0,58.0,66.0,-5.0,55.0,60.0,0.0,1.0,0419,1931, ,0.0,0.0,0.0,29.41,30.09,11.9,3,12.5,0,16.0,11.0
118,1,2007-06-29,70.0,56.0,63.0,-8.0,55.0,59.0,2.0,0.0,0419,1931, ,0.0,0.0,0.0,29.41,30.13,7.6,2,8.3,0,14.0,8.0
120,1,2007-06-30,79.0,54.0,67.0,-5.0,46.0,56.0,0.0,2.0,0419,1931, ,0.0,0.0,0.0,29.41,30.13,4.9,3,5.8,0,25.0,21.0
122,1,2007-07-01,75.0,54.0,65.0,-7.0,52.0,58.0,0.0,0.0,0420,1931, ,0.0,0.0,0.0,29.51,30.23,8.6,4,8.6,0,21.0,13.0
124,1,2007-07-02,79.0,53.0,66.0,-6.0,50.0,58.0,0.0,1.0,0420,1931, ,0.0,0.0,0.0,29.49,30.22,5.9,14,8.1,0,26.0,16.0
126,1,2007-07-03,83.0,60.0,72.0,0.0,57.0,63.0,0.0,7.0,0421,1931,TSRA RA BR,0.0,0.0,0.4,29.31,30.06,6.7,21,7.3,0,23.0,15.0
128,1,2007-07-04,86.0,67.0,77.0,5.0,65.0,69.0,0.0,12.0,0422,1930,TSRA BR HZ FU,0.0,0.0,0.16,29.18,29.9,4.6,27,8.2,1,19.0,12.0
130,1,2007-07-05,89.0,71.0,80.0,8.0,60.0,67.0,0.0,15.0,0422,1930,BR HZ FU,0.0,0.0,0.0,29.24,29.94,6.4,31,8.1,0,18.0,20.0
132,1,2007-07-06,86.0,66.0,76.0,4.0,57.0,64.0,0.0,11.0,0423,1930, ,0.0,0.0,0.0,29.32,30.03,3.2,5,5.5,0,20.0,19.0
134,1,2007-07-07,90.0,64.0,77.0,5.0,63.0,69.0,0.0,12.0,0423,1930, ,0.0,0.0,0.0,29.18,29.91,8.4,22,8.6,0,26.0,14.0
136,1,2007-07-08,94.0,75.0,85.0,12.0,67.0,72.0,0.0,20.0,0424,1929, ,0.0,0.0,0.0,29.05,29.77,12.9,24,13.1,1,19.0,18.0
138,1,2007-07-09,94.0,70.0,82.0,9.0,66.0,70.0,0.0,17.0,0425,1929,TSRA RA VCTS,0.0,0.0,0.3,29.11,29.8,4.9,24,8.8,1,24.0,16.0
140,1,2007-07-10,89.0,69.0,79.0,6.0,67.0,70.0,0.0,14.0,0425,1929,HZ VCTS,0.0,0.0,0.43,29.06,29.77,8.6,23,10.5,1,20.0,12.0
142,1,2007-07-11,77.0,62.0,70.0,-3.0,51.0,59.0,0.0,5.0,0426,1928, ,0.0,0.0,0.0,29.23,29.93,8.8,30,10.9,0,15.0,19.0
144,1,2007-07-12,80.0,61.0,71.0,-2.0,51.0,59.0,0.0,6.0,0427,1928, ,0.0,0.0,0.0,29.22,29.93,9.4,29,11.1,0,19.0,20.0
146,1,2007-07-13,78.0,58.0,68.0,-5.0,52.0,58.0,0.0,3.0,0428,1927, ,0.0,0.0,0.0,29.26,29.98,1.4,1,5.3,0,20.0,16.0
148,1,2007-07-14,84.0,61.0,73.0,0.0,55.0,62.0,0.0,8.0,0428,1927, ,0.0,0.0,0.0,29.08,29.79,8.3,26,13.2,0,23.0,18.0
150,1,2007-07-15,82.0,60.0,71.0,-3.0,53.0,61.0,0.0,6.0,0429,1926, ,0.0,0.0,0.0,29.19,29.89,2.1,29,4.9,0,22.0,18.0
152,1,2007-07-16,82.0,65.0,74.0,0.0,60.0,65.0,0.0,9.0,0430,1925,RA BR,0.0,0.0,0.39,29.25,29.96,4.4,24,5.2,0,17.0,14.0
154,1,2007-07-17,83.0,68.0,76.0,2.0,66.0,69.0,0.0,11.0,0431,1925,RA BR VCTS,0.0,0.0,0.11,29.18,29.9,5.2,23,6.5,1,15.0,10.0
156,1,2007-07-18,85.0,69.0,77.0,3.0,68.0,71.0,0.0,12.0,0432,1924,TSRA RA BR VCTS,0.0,0.0,1.55,29.11,29.84,9.1,24,10.1,1,16.0,9.0
158,1,2007-07-19,83.0,63.0,73.0,-1.0,63.0,66.0,0.0,8.0,0433,1923,DZ BR,0.0,0.0,0.16,29.21,29.9,7.0,1,11.9,0,20.0,10.0
160,1,2007-07-20,75.0,58.0,67.0,-7.0,53.0,59.0,0.0,2.0,0433,1923, ,0.0,0.0,0.0,29.44,30.14,8.6,3,9.1,0,17.0,14.0
162,1,2007-07-21,74.0,58.0,66.0,-8.0,52.0,58.0,0.0,1.0,0434,1922, ,0.0,0.0,0.0,29.51,30.22,6.5,3,7.4,0,16.0,14.0
164,1,2007-07-22,81.0,58.0,70.0,-4.0,55.0,61.0,0.0,5.0,0435,1921, ,0.0,0.0,0.0,29.49,30.21,1.7,16,3.3,0,23.0,15.0
166,1,2007-07-23,83.0,60.0,72.0,-2.0,55.0,63.0,0.0,7.0,0436,1920, ,0.0,0.0,0.0,29.37,30.1,3.2,9,4.0,0,23.0,17.0
168,1,2007-07-24,82.0,65.0,74.0,0.0,58.0,64.0,0.0,9.0,0437,1919, ,0.0,0.0,0.0,29.32,30.04,3.1,20,5.2,0,17.0,16.0
170,1,2007-07-25,85.0,71.0,78.0,4.0,61.0,67.0,0.0,13.0,0438,1918, ,0.0,0.0,0.1,29.29,30.0,5.8,25,6.6,0,14.0,17.0
172,1,2007-07-26,83.0,66.0,75.0,1.0,65.0,68.0,0.0,10.0,0439,1918,TS TSRA RA BR HZ,0.0,0.0,0.19,29.19,29.92,7.2,22,9.4,1,17.0,10.0
174,1,2007-07-27,83.0,70.0,77.0,3.0,68.0,70.0,0.0,12.0,0440,1917,RA BR HZ,0.0,0.0,0.17,29.11,29.82,3.0,3,7.9,1,13.0,9.0
176,1,2007-07-28,80.0,66.0,73.0,-1.0,65.0,68.0,0.0,8.0,0441,1916,BR HZ,0.0,0.0,0.0,29.23,29.93,10.0,3,10.2,1,14.0,8.0
178,1,2007-07-29,85.0,63.0,74.0,0.0,57.0,64.0,0.0,9.0,0442,1915, ,0.0,0.0,0.0,29.28,29.99,4.8,5,5.7,0,22.0,17.0
180,1,2007-07-30,89.0,62.0,76.0,2.0,55.0,64.0,0.0,11.0,0443,1914, ,0.0,0.0,0.0,29.33,30.03,3.8,6,4.3,0,27.0,21.0
182,1,2007-07-31,91.0,68.0,80.0,6.0,61.0,68.0,0.0,15.0,0444,1913, ,0.0,0.0,0.0,29.33,30.04,3.3,4,4.9,0,23.0,19.0
184,1,2007-08-01,92.0,69.0,81.0,8.0,62.0,69.0,0.0,16.0,0445,1911,HZ,0.0,0.0,0.0,29.29,30.0,3.5,9,4.1,0,23.0,19.0
186,1,2007-08-02,91.0,70.0,81.0,8.0,66.0,71.0,0.0,16.0,0446,1910,HZ,0.0,0.0,0.0,29.26,29.97,5.5,26,5.9,1,21.0,15.0
188,1,2007-08-03,90.0,69.0,80.0,7.0,56.0,66.0,0.0,15.0,0447,1909, ,0.0,0.0,0.0,29.31,30.02,2.7,3,5.7,0,21.0,24.0
190,1,2007-08-04,81.0,64.0,73.0,0.0,58.0,64.0,0.0,8.0,0448,1908,RA,0.0,0.0,0.03,29.31,30.03,5.7,8,6.1,0,17.0,15.0
192,1,2007-08-05,88.0,67.0,78.0,5.0,71.0,73.0,0.0,13.0,0449,1907,TSRA RA BR HZ,0.0,0.0,1.43,29.08,29.81,5.4,21,9.6,1,21.0,7.0
194,1,2007-08-06,88.0,74.0,81.0,8.0,72.0,74.0,0.0,16.0,0450,1906,TSRA RA BR HZ,0.0,0.0,0.26,29.13,29.83,1.6,10,4.9,1,14.0,9.0
196,1,2007-08-07,91.0,72.0,82.0,9.0,73.0,76.0,0.0,17.0,0451,1904,RA BR,0.0,0.0,1.31,29.06,29.76,6.2,25,9.0,1,19.0,9.0
198,1,2007-08-08,87.0,73.0,80.0,7.0,71.0,73.0,0.0,15.0,0452,1903,TSRA RA BR,0.0,0.0,0.06,29.13,29.83,3.0,3,6.9,1,14.0,9.0
200,1,2007-08-09,84.0,72.0,78.0,5.0,71.0,73.0,0.0,13.0,0453,1902,TSRA RA,0.0,0.0,0.05,29.13,29.84,2.5,29,6.0,1,12.0,7.0
202,1,2007-08-10,86.0,70.0,78.0,5.0,68.0,72.0,0.0,13.0,0454,1900,BR,0.0,0.0,0.0,29.26,29.96,4.5,2,5.9,1,16.0,10.0
204,1,2007-08-11,89.0,67.0,78.0,5.0,65.0,70.0,0.0,13.0,0455,1859,BR HZ,0.0,0.0,0.0,29.31,30.02,3.2,19,3.9,1,22.0,13.0
206,1,2007-08-12,88.0,67.0,78.0,5.0,67.0,71.0,0.0,13.0,0456,1858,TSRA,0.0,0.0,0.29,29.34,30.06,1.7,6,5.4,1,21.0,11.0
208,1,2007-08-13,81.0,65.0,73.0,0.0,57.0,64.0,0.0,8.0,0457,1856,BR,0.0,0.0,0.0,29.39,30.11,6.2,6,6.9,0,16.0,16.0
210,1,2007-08-14,84.0,65.0,75.0,3.0,67.0,70.0,0.0,10.0,0458,1855,TS TSRA RA BR,0.0,0.0,0.41,29.23,29.93,5.9,25,8.0,1,19.0,8.0
212,1,2007-08-15,80.0,71.0,76.0,4.0,67.0,70.0,0.0,11.0,0459,1854,TSRA RA BR,0.0,0.0,0.23,29.17,29.89,3.4,7,5.8,1,9.0,9.0
214,1,2007-08-16,77.0,65.0,71.0,-1.0,64.0,67.0,0.0,6.0,0500,1852,BR,0.0,0.0,0.0,29.28,29.97,3.6,1,5.7,0,12.0,7.0
216,1,2007-08-17,79.0,60.0,70.0,-2.0,54.0,61.0,0.0,5.0,0501,1851, ,0.0,0.0,0.0,29.41,30.1,5.9,32,6.8,0,19.0,16.0
218,1,2007-08-18,68.0,59.0,64.0,-8.0,54.0,58.0,1.0,0.0,0502,1849,RA,0.0,0.0,0.09,29.44,30.16,6.4,12,8.1,0,9.0,10.0
220,1,2007-08-19,68.0,62.0,65.0,-6.0,62.0,64.0,0.0,0.0,0503,1848,TS RA BR,0.0,0.0,1.33,29.24,29.99,6.0,10,7.4,0,6.0,3.0
222,1,2007-08-20,78.0,68.0,73.0,2.0,68.0,69.0,0.0,8.0,0504,1846,TSRA RA BR,0.0,0.0,0.91,29.15,29.87,0.5,12,5.7,1,10.0,5.0
224,1,2007-08-21,87.0,69.0,78.0,7.0,70.0,72.0,0.0,13.0,0505,1845,BR HZ,0.0,0.0,0.1,29.21,29.91,3.8,18,6.0,1,18.0,8.0
226,1,2007-08-22,90.0,69.0,80.0,9.0,71.0,73.0,0.0,15.0,0506,1843,TS TSRA RA,0.0,0.0,0.37,29.23,29.94,5.3,21,9.5,1,21.0,9.0
228,1,2007-08-23,87.0,69.0,78.0,7.0,69.0,71.0,0.0,13.0,0508,1842,TS TSRA RA BR VCTS,0.0,0.0,2.35,29.15,29.87,9.6,21,11.7,1,18.0,9.0
230,1,2007-08-24,80.0,69.0,75.0,4.0,67.0,69.0,0.0,10.0,0509,1840,TSRA RA,0.0,0.0,0.24,29.11,29.82,5.8,25,7.1,1,11.0,8.0
232,1,2007-08-25,79.0,64.0,72.0,2.0,63.0,66.0,0.0,7.0,0510,1839,RA,0.0,0.0,0.34,29.23,29.93,3.0,36,5.6,0,15.0,9.0
234,1,2007-08-26,79.0,60.0,70.0,0.0,55.0,61.0,0.0,5.0,0511,1837, ,0.0,0.0,0.0,29.38,30.08,3.6,11,5.4,0,19.0,15.0
236,1,2007-08-27,79.0,60.0,70.0,0.0,60.0,64.0,0.0,5.0,0512,1835, ,0.0,0.0,0.0,29.36,30.07,6.5,17,7.4,0,19.0,10.0
238,1,2007-08-28,91.0,67.0,79.0,9.0,66.0,70.0,0.0,14.0,0513,1834, ,0.0,0.0,0.0,29.28,29.99,9.0,20,9.5,1,24.0,13.0
240,1,2007-08-29,85.0,68.0,77.0,7.0,65.0,69.0,0.0,12.0,0514,1832, ,0.0,0.0,0.1,29.34,30.04,5.6,3,8.2,1,17.0,12.0
242,1,2007-08-30,75.0,57.0,66.0,-4.0,54.0,60.0,0.0,1.0,0515,1831, ,0.0,0.0,0.0,29.47,30.18,9.1,2,9.9,0,18.0,12.0
244,1,2007-08-31,77.0,57.0,67.0,-2.0,52.0,59.0,0.0,2.0,0516,1829, ,0.0,0.0,0.0,29.47,30.19,3.9,4,5.2,0,20.0,15.0
246,1,2007-09-01,81.0,57.0,69.0,1.0,55.0,61.0,0.0,4.0,0517,1827, ,0.0,0.0,0.0,29.49,30.22,4.2,11,5.0,0,24.0,14.0
248,1,2007-09-02,85.0,61.0,73.0,5.0,57.0,63.0,0.0,8.0,0518,1826, ,0.0,0.0,0.0,29.41,30.15,4.2,21,5.0,0,24.0,16.0
250,1,2007-09-03,88.0,66.0,77.0,9.0,61.0,67.0,0.0,12.0,0519,1824, ,0.0,0.0,0.0,29.36,30.09,2.0,27,5.8,0,22.0,16.0
252,1,2007-09-04,89.0,63.0,76.0,8.0,60.0,66.0,0.0,11.0,0520,1822, ,0.0,0.0,0.0,29.28,30.0,2.8,22,4.3,0,26.0,16.0
254,1,2007-09-05,90.0,66.0,78.0,11.0,63.0,69.0,0.0,13.0,0521,1821,RA,0.0,0.0,0.1,29.24,29.96,6.4,19,6.5,0,24.0,15.0
256,1,2007-09-06,82.0,73.0,78.0,11.0,67.0,70.0,0.0,13.0,0522,1819,RA HZ,0.0,0.0,0.18,29.21,29.92,11.9,20,12.1,1,9.0,11.0
258,1,2007-09-07,84.0,70.0,77.0,10.0,68.0,70.0,0.0,12.0,0523,1817,TSRA RA BR HZ,0.0,0.0,0.19,29.15,29.85,10.4,23,13.9,1,14.0,9.0
260,1,2007-09-08,78.0,64.0,71.0,5.0,57.0,63.0,0.0,6.0,0524,1815, ,0.0,0.0,0.0,29.3,30.0,6.0,5,7.2,0,14.0,14.0
262,1,2007-09-09,80.0,63.0,72.0,6.0,59.0,63.0,0.0,7.0,0525,1814, ,0.0,0.0,0.0,29.36,30.06,9.2,3,9.9,0,17.0,13.0
264,1,2007-09-10,74.0,54.0,64.0,-2.0,58.0,60.0,1.0,0.0,0526,1812,RA BR,0.0,0.0,0.36,29.3,30.04,7.2,2,9.0,0,20.0,6.0
266,1,2007-09-11,71.0,50.0,61.0,-4.0,44.0,52.0,4.0,0.0,0527,1810, ,0.0,0.0,0.1,29.2,29.92,11.7,29,13.5,0,21.0,17.0
268,1,2007-09-12,67.0,46.0,57.0,-8.0,42.0,49.0,8.0,0.0,0528,1809, ,0.0,0.0,0.0,29.4,30.12,1.8,3,5.6,0,21.0,15.0
270,1,2007-09-13,78.0,50.0,64.0,-1.0,45.0,54.0,1.0,0.0,0529,1807, ,0.0,0.0,0.0,29.23,29.99,8.3,19,8.5,0,28.0,19.0
272,1,2007-09-14,66.0,45.0,56.0,-8.0,39.0,48.0,9.0,0.0,0530,1805, ,0.0,0.0,0.0,29.36,30.05,12.1,32,13.4,0,21.0,17.0
274,1,2007-09-15,61.0,39.0,50.0,-14.0,33.0,43.0,15.0,0.0,0531,1803, ,0.0,0.0,0.0,29.56,30.28,1.4,33,5.9,0,22.0,17.0
276,1,2007-09-16,71.0,44.0,58.0,-6.0,40.0,49.0,7.0,0.0,0532,1760, ,0.0,0.0,0.0,29.46,30.19,6.8,18,7.4,0,27.0,18.0
278,1,2007-09-17,80.0,52.0,66.0,2.0,49.0,57.0,0.0,1.0,0533,1758, ,0.0,0.0,0.0,29.39,30.12,11.7,17,12.1,0,28.0,17.0
280,1,2007-09-18,88.0,63.0,76.0,12.0,58.0,65.0,0.0,11.0,0535,1756, ,0.0,0.0,0.0,29.34,30.06,12.9,19,13.1,0,25.0,18.0
282,1,2007-09-19,84.0,65.0,75.0,12.0,59.0,65.0,0.0,10.0,0536,1755, ,0.0,0.0,0.0,29.41,30.11,5.0,26,9.7,0,19.0,16.0
284,1,2007-09-20,78.0,60.0,69.0,7.0,59.0,63.0,0.0,4.0,0537,1753, ,0.0,0.0,0.0,29.39,30.12,5.3,7,6.6,0,18.0,10.0
286,1,2007-09-21,88.0,64.0,76.0,14.0,59.0,66.0,0.0,11.0,0538,1751,HZ,0.0,0.0,0.0,29.18,29.9,10.3,21,12.4,0,24.0,17.0
288,1,2007-09-22,74.0,51.0,63.0,1.0,43.0,53.0,2.0,0.0,0539,1749, ,0.0,0.0,0.0,29.42,30.12,2.6,3,6.8,0,23.0,20.0
290,1,2007-09-23,84.0,50.0,67.0,6.0,50.0,58.0,0.0,2.0,0540,1748, ,0.0,0.0,0.0,29.43,30.16,4.6,13,5.3,0,34.0,17.0
